一丁不识	yi ding bu shi
一不做二不休	yi bu zuo er bu xiu
一丘之貉	yi qiu zhi he
一丝一毫	yi si yi hao
一丝不挂	yi si bu gua
一丝不苟	yi si bu gou
一个将军一个令	yi ge jiang jun yi ge ling
一个萝卜一个坑	yi ge luo bo yi ge keng
一举一动	yi ju yi dong
一举两得	yi ju liang de
一举成名	yi ju cheng ming
一之为甚	yi zhi wei shen
一了百了	yi liao bai liao
一事无成	yi shi wu cheng
一五一十	yi wu yi shi
一人得道鸡犬升天	yi ren de dao ji quan sheng tian
一以贯之	yi yi guan zhi
一传十十传百	yi chuan shi shi chuan bai
一元复始	yi yuan fu shi
一刀两断	yi dao liang duan
一刀切	yi dao qie
一分一毫	yi fen yi hao
一分为二	yi fen wei er
一切就绪	yi qie jiu xu
一刻千金	yi ke qian jin
一反常态	yi fan chang tai
一叶知秋	yi ye zhi qiu
一叶障目	yi ye zhang mu
一呼百应	yi hu bai ying
一呼百诺	yi hu bai nuo
一命呜呼	yi ming wu hu
一哄而散	yi hong er san
一唱一和	yi chang yi he
一唱三叹	yi chang san tan
一回生二回熟	yi hui sheng er hui shu
一团和气	yi tuan he qi
一塌糊涂	yi ta hu tu
一夔已足	yi kui yi zu
一夕数惊	yi xi shu jing
一夫当关万夫莫开	yi fu dang guan wan fu mo kai
一失足成千古恨	yi shi zu cheng qian gu hen
一如既往	yi ru ji wang
一孔之见	yi kong zhi jian
一字一泪	yi zi yi lei
一字不差	yi zi bu cha
一字不提	yi zi bu ti
一字千金	yi zi qian jin
一字褒贬	yi zi bao bian
一家人不说两家话	yi jia ren bu shuo liang jia hua
一尘不染	yi chen bu ran
一山不容二虎	yi shan bu rong er hu
一帆风顺	yi fan feng shun
一干二净	yi gan er jing
一年一度	yi nian yi du
一年之计在于春	yi nian zhi ji zai yu chun
一弹指顷	yi tan zhi qing
一往无前	yi wang wu qian
一心一德	yi xin yi de
一心二用	yi xin er yong
一意孤行	yi yi gu xing
一成不变	yi cheng bu bian
一手交钱一手交货	yi shou jiao qian yi shou jiao huo
一扫而空	yi sao er kong
一技之长	yi ji zhi chang
一把屎一把尿	yi ba shi yi ba niao
一把眼泪一把鼻涕	yi ba yan lei yi ba bi ti
一把钥匙开一把锁	yi ba yao shi kai yi ba suo
一拍即合	yi pai ji he
一拥而入	yi yong er ru
一掬同情之泪	yi ju tong qing zhi lei
一掷千金	yi zhi qian jin
一改故辙	yi gai gu zhe
一文不值	yi wen bu zhi
一无所有	yi wu suo you
一无所知	yi wu suo zhi
一无是处	yi wu shi chu
一日三秋	yi ri san qiu
一日不见如隔三秋	yi ri bu jian ru ge san qiu
一日为师终身为父	yi ri wei shi zhong shen wei fu
一日之计在于晨	yi ri zhi ji zai yu chen
一日之雅	yi ri zhi ya
一日千里	yi ri qian li
一时半刻	yi shi ban ke
一是一二是二	yi shi yi er shi er
一曝十寒	yi pu shi han
一望无垠	yi wang wu yin
一望无际	yi wang wu ji
一望而知	yi wang er zhi
一朝一夕	yi zhao yi xi
一朝天子一朝臣	yi chao tian zi yi chao chen
一木难支	yi mu nan zhi
一本万利	yi ben wan li
一本正经	yi ben zheng jing
一条绳上的蚂蚱	yi tiao sheng shang de ma zha
一条路走到黑	yi tiao lu zou dao hei
一板一眼	yi ban yi yan
一板三眼	yi ban san yan
一枝独秀	yi zhi du xiu
一柱擎天	yi zhu qing tian
一概而论	yi gai er lun
一模一样	yi mu yi yang
一步一个脚印	yi bu yi ge jiao yin
一步登天	yi bu deng tian
一毛不拔	yi mao bu ba
一波未平一波又起	yi bo wei ping yi bo you qi
一清二楚	yi qing er chu
一清二白	yi qing er bai
一清如水	yi qing ru shui
一炮打响	yi pao da xiang
一炮而红	yi pao er hong
一点水一个泡	yi dian shui yi ge pao
一物降一物	yi wu xiang yi wu
一琴一鹤	yi qin yi he
一瓶子不响半瓶子晃荡	yi ping zi bu xiang ban ping zi huang dang
一生一世	yi sheng yi shi
一男半女	yi nan ban nv
一病不起	yi bing bu qi
一盘散沙	yi pan san sha
一目了然	yi mu liao ran
一目十行	yi mu shi hang
一眼看穿	yi yan kan chuan
一着不慎满盘皆输	yi zhao bu shen man pan jie shu
一矢中的	yi shi zhong di
一知半解	yi zhi ban jie
一石二鸟	yi shi er niao
一碗水端平	yi wan shui duan ping
一秉虔诚	yi bing qian cheng
一窍不通	yi qiao bu tong
一笔不苟	yi bi bu gou
一笔带过	yi bi dai guo
一箭之仇	yi jian zhi chou
一箭双雕	yi jian shuang diao
一粒老鼠屎坏了一锅粥	yi li lao shu shi huai le yi guo zhou
一纸空文	yi zhi kong wen
一线生机	yi xian sheng ji
一网打尽	yi wang da jin
